Creation	Duration	State	Label	
00:22.864.661	6.32 ms	Active	Neural Engine Prediction	
00:22.872.551	5.00 ms	Active	Neural Engine Prediction	
00:22.879.457	5.32 ms	Active	Neural Engine Prediction	
00:23.030.392	6.02 ms	Active	Neural Engine Prediction	
00:23.036.668	5.97 ms	Active	Neural Engine Prediction	
00:23.044.247	6.02 ms	Active	Neural Engine Prediction	
00:23.107.302	2.87 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:23.297.276	6.43 ms	Active	Neural Engine Prediction	
00:23.304.951	4.75 ms	Active	Neural Engine Prediction	
00:23.310.338	5.14 ms	Active	Neural Engine Prediction	
00:23.454.013	6.77 ms	Active	Neural Engine Prediction	
00:23.461.150	7.10 ms	Active	Neural Engine Prediction	
00:23.470.290	6.06 ms	Active	Neural Engine Prediction	
00:23.540.441	2.29 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:23.707.408	7.22 ms	Active	Neural Engine Prediction	
00:23.716.312	5.06 ms	Active	Neural Engine Prediction	
00:23.722.154	4.78 ms	Active	Neural Engine Prediction	
00:23.872.360	6.12 ms	Active	Neural Engine Prediction	
00:23.878.717	6.36 ms	Active	Neural Engine Prediction	
00:23.886.253	5.46 ms	Active	Neural Engine Prediction	
00:23.924.164	2.45 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:23.947.352	2.17 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:24.198.740	208.72 ms	Active	Neural Engine Prediction	
00:24.425.073	1.11 ms	Active	Neural Engine Prediction	
00:24.434.383	204.67 ms	Active	Neural Engine Prediction	
00:24.505.384	77.47 ms	Active	text_model_ctx_512_77_main_ctx_77__Op0_AneInference Load: cached	
00:24.666.505	205.09 ms	Active	Neural Engine Prediction	
00:24.901.645	210.04 ms	Active	Neural Engine Prediction	
00:25.121.862	187.83 ms	Active	decoder_main__Op0_AneInference Load: cached	
00:25.313.548	273.75 ms	Active	decoder_main__Op0_AneInference Prediction	
00:25.575.617	1.72 ms	Active	Neural Engine Prediction	
00:25.582.895	1.16 ms	Active	Neural Engine Prediction	
00:25.583.239	857.88 µs	Active	Neural Engine Prediction	
00:25.584.068	994.29 µs	Active	Neural Engine Prediction	
00:25.602.738	78.79 ms	Active	decoder_alpha_emoji_main__Op0_AneInference Load: cached	
00:25.609.603	8.92 µs	Active	Neural Engine Prediction	
00:25.615.613	986.67 µs	Active	Neural Engine Prediction	
00:25.616.652	157.17 µs	Active	Neural Engine Prediction	
00:25.616.692	152.75 µs	Active	Neural Engine Prediction	
00:25.686.432	107.95 ms	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:25.890.990	128.21 µs	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:25.927.085	13.07 ms	Active	Neural Engine Load: cached	
00:25.957.012	42.67 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:26.018.856	4.14 ms	Active	Neural Engine Load: cached	
00:26.025.947	1.06 ms	Active	Neural Engine Prediction	
00:26.032.051	4.83 ms	Active	op_main_image__Op1_AneInference Prediction	
00:26.046.255	2.27 ms	Active	Neural Engine Prediction	
00:26.058.171	9.04 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:26.072.123	3.41 ms	Active	op_main_image__Op1_AneInference Prediction	
00:26.085.523	53.87 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Load: cached	
00:26.141.500	6.61 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Load: cached	
00:26.197.922	193.08 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Prediction	
00:26.199.507	635.08 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:26.201.490	495.00 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:26.203.332	396.46 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
