Timestamp	Type	Process	Subsystem	Category	Message	
00:52.070.804	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.073.251	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.075.864	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.079.792	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.082.587	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.085.188	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.087.604	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.090.009	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.092.750	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.096.757	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.100.452	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.103.226	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.105.979	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.108.624	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.114.699	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.116.792	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.119.077	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.121.058	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.122.789	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.124.561	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.126.524	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.129.032	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.132.118	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.134.155	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.136.223	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.138.009	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.140.736	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.238.281	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 7 processId: 9 uuid: 0x<private> procedureid: 0 programEvent: 1
	
