Creation	Duration	State	Label	
00:47.552.186	5.43 ms	Active	Neural Engine Prediction	
00:47.784.683	6.56 ms	Active	Neural Engine Prediction	
00:47.791.483	7.43 ms	Active	Neural Engine Prediction	
00:47.800.440	5.64 ms	Active	Neural Engine Prediction	
00:47.832.012	2.01 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:47.851.918	1.97 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:48.082.074	167.39 ms	Active	Neural Engine Prediction	
00:48.276.134	176.54 ms	Active	Neural Engine Prediction	
00:48.476.509	172.92 ms	Active	Neural Engine Prediction	
00:48.671.426	173.78 ms	Active	Neural Engine Prediction	
00:48.853.309	150.37 ms	Active	decoder_main__Op0_AneInference Load: cached	
00:49.007.079	253.57 ms	Active	decoder_main__Op0_AneInference Prediction	
00:49.265.969	56.98 ms	Active	decoder_alpha_emoji_main__Op0_AneInference Load: cached	
00:49.325.777	107.93 ms	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:49.500.478	116.62 µs	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:49.523.015	8.80 ms	Active	Neural Engine Load: cached	
00:49.547.769	11.01 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:49.570.452	4.55 ms	Active	Neural Engine Load: cached	
00:49.652.982	1.02 ms	Active	Neural Engine Prediction	
00:49.658.019	3.34 ms	Active	op_main_image__Op1_AneInference Prediction	
00:49.671.933	2.67 ms	Active	Neural Engine Prediction	
00:49.688.023	3.40 ms	Active	Neural Engine Prediction	
00:49.704.120	46.34 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Load: cached	
00:49.752.100	5.03 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Load: cached	
00:49.797.758	195.21 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Prediction	
00:49.798.920	713.67 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.800.147	419.25 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.800.934	410.46 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.801.728	379.25 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.802.429	459.58 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.803.214	436.38 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.803.964	406.54 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.804.671	446.75 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.805.414	436.79 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.806.146	487.38 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:49.806.946	450.54 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
