Creation	Duration	State	Label	
00:12.662.473	15.83 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:12.635.944	8.15 ms	Active	Neural Engine Load: cached	
00:12.381.989	222.99 ms	Active	decoder_main__Op0_AneInference Prediction	
00:12.197.828	181.21 ms	Active	decoder_main__Op0_AneInference Load: cached	
00:12.035.637	154.78 ms	Active	Neural Engine Prediction	
00:11.866.256	148.98 ms	Active	Neural Engine Prediction	
00:11.691.601	154.64 ms	Active	Neural Engine Prediction	
00:11.513.931	149.85 ms	Active	Neural Engine Prediction	
00:11.318.834	4.42 ms	Active	Neural Engine Prediction	
00:11.297.825	3.39 ms	Active	Neural Engine Prediction	
00:11.257.080	6.38 ms	Active	Neural Engine Prediction	
00:11.250.419	5.39 ms	Active	Neural Engine Prediction	
00:11.242.373	7.83 ms	Active	Neural Engine Prediction	
00:11.228.944	13.16 ms	Active	Neural Engine Prediction	
00:11.176.310	5.91 ms	Active	Neural Engine Prediction	
00:11.168.954	6.60 ms	Active	Neural Engine Prediction	
00:11.153.875	13.44 ms	Active	Neural Engine Prediction	
